authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Clapham","M. Clapham",,33130,T.,Ishibashi,C.,Chonglakmani,,1990,"Uppermost Permian ammonoids from northern Thailand","Journal of Southeast Asian Earth Sciences",,4,3,163,170,"journal article","stated with evidence",English,,,,,"2010-07-16 17:11:21","2010-07-17 10:11:21"
"M. Clapham","M. Clapham",,33183,T.,Ishibashi,M.,Fujikawa,"N. Nakornsri",1996,"Permian ammonoids from the Loei area, northeast Thailand","Memoirs of the Faculty of Science, Kyushu University, Series D, Earth and Planetary Science",,29,2,175,196,"journal article","stated with evidence",English,,,,,"2010-07-22 09:38:36","2010-07-23 02:38:36"
"M. Clapham","M. Clapham",,33189,T.,Ishibashi,K.,Nakazawa,,1989,"Triassic ammonites from west Spitsbergen","Memoirs of the Faculty of Science, Kyushu University, Series D, Geology",,26,,215,241,"journal article","stated with evidence",English,,,,,"2010-07-22 18:15:57","2010-07-23 11:15:57"
"M. Clapham","M. Clapham",,33128,T.,Ishibashi,N.,Nakornsri,"K. Nagai",1994,"Permian-Triassic boundary and fauna at Doi Pha Phlung, northern Thailand","Memoirs of the Faculty of Science, Kyushu University, Series D, Earth and Planetary Science",,28,2,23,40,"journal article","stated with evidence",English,,,,,"2010-07-16 16:37:57","2010-07-17 09:37:57"
"M. Clapham","M. Clapham",,36517,Y.,Ishida,S.,Yoshii,"B. Thuy",2011,"Aplocoma sp. (Echinodermata, Ophiuroidea) from the Middle Triassic Yakuno Group of Kyoto, central Japan","Paleontological Research",,15,,31,36,"journal article","stated with evidence",English,,,,,"2011-06-25 15:10:44","2011-06-25 15:10:44"
"M. Uhen","M. Uhen",,25591,H.,Ishiguri,M.,Kimura,,1993,"Odobenus rosmarus from Lower Pleistocene in the Nopporo Hills, Hokkaido, Japan","Chikyu Kagaku",,47,2,147,152,"journal article","stated without evidence",Japanese,,,,,"2007-10-25 12:25:39","2007-10-26 05:25:39"
"A. Hendy","A. Hendy",,25058,Y.,Islamoglu,,,,2004,"Kasaba Miyosen havzasinin Gastropoda faunasi (Bati Toroslar, GB Türkiye)","MTA Dergisi",,128,,137,170,"journal article","stated with evidence",other,,,,,"2007-08-12 23:00:47","2007-08-13 16:00:47"
"W. Kiessling","U. Merkel",,28939,Y.,Islamoglu,,,,2008,"Molluscan biostratigraphy and paleoenvironmental reconstruction of Oligocene deposits in the Denizli and Kale-Tavas subbasins (SW Turkey)",Geodiversitas,,30,2,261,285,"journal article","stated without evidence",English,,,,,"2009-01-09 02:35:06","2009-01-09 21:35:06"
"A. Hendy","A. Hendy",,36525,Y.,Islamoglus,A.,Hakyemez,,2010,"Oligocene History of the Çardak-Dazk&#305;r&#305; Sub-basin (Denizli, SW Turkey): Integrated Molluscan and Planktonic Foraminiferal Biostratigraphy","Turkish Journal of Earth Sciences",,19,,473,496,"journal article","stated without evidence",English,,,,,"2011-06-27 06:14:20","2011-06-27 06:14:20"
"J. Alroy","J. Alroy",,30577,"W. M.",Itano,"G. D.",Webster,"K. J. Houck, W. D. Bateman",2003,"The first Pennsylvanian batocrinid and other new echinoderms from the Minturn Formation of central Colorado","Mountain Geologist",,40,3,83,100,"journal article","stated with evidence",English,,,,,"2009-08-21 18:05:15","2009-08-22 11:05:15"
"A. Hendy","A. Hendy",,33861,J.,Itoigawa,H.,Ogawa,,1973,"Pleistocene molluscan fauna of the Sakishima Formation, Shima Peninsula, central Japan","Tohoku University, Science Reports, 2nd series (Geology), Special Volume",,,6,69,80,"journal article","stated without evidence",English,,"Hatai Memorial Volume",,,"2010-09-10 08:32:43","2010-09-11 01:32:43"
"M. Clapham","M. Clapham",,40923,"V. V.",Ivanov,,,,2000,"A new species of Dictyoneurida from the Kungurian deposits of the middle Urals (Dictyoneurida)","Paleontological Journal",,34,"Suppl 3",S288,S289,"journal article","stated with evidence",English,,,,,"2012-03-28 03:43:04","2012-03-28 03:43:04"
"W. Kiessling","S. Nurnberg","S. Nurnberg",13412,"E. A.",Ivanova,,,,1975,"Some Carboniferous Spiriferinidina (Brachiopoda) of the Moscow Basin.","Paleontologicheskiy Zhurnal",,1975,2,79,88,"journal article","stated without evidence",,,,,,"2005-05-02 11:41:50","2005-05-03 04:41:50"
"L. Ivany","L. Ivany","A. Clement",72,"L. C.",Ivany,,,,1997,"Faunal stability and environmental change in the middle Eocene Gulf Coastal Plain (PhD Thesis, Harvard University)",,,,,1,221,"Ph.D. thesis","stated without evidence",English,,,,,"2002-03-04 16:40:29","2013-02-16 09:45:17"
"A. Miller","K. Bulinski","K. Bulinski",13978,Y,Iwasaki,,,,1970,"The Shiobara-type Molluscan Fauna: An ecological analysis of fossil molluscs","Journal of the faculty of science, University of Tokyo, Section 2",,17,3,351,444,"journal article","stated without evidence",English,,"Also contains plates",,,"2005-07-22 10:18:06","2005-07-26 06:01:26"
"P. Novack-Gottshall","P. Hearn","P. Hearn",26099,V.,Jaanusson,,,,1958,"Black Tretaspis Shale","Lexique Stratigraphique International, Centre National de la Recherche Scientifique, Stockholm",,,,,,"journal article","stated without evidence",English,,"P. 41 in P. Pruvost, ed.  Lexique Stratigraphique International, Vol. I: Europe, Fascicule 2c: Sweden.  Centre National de la Recherche Scientifique, Stockholm",,,"2007-12-20 09:25:54","2007-12-21 04:26:42"
"A. Miller","P. Novack-Gottshall","A. Clement",104,V.,Jaanusson,,,,1960,"The Viruan (Middle Ordovician) of Oland","Bulletin of the Geological Institutions of the University of Uppsala",,38,,207,287,"journal article","stated without evidence",English,,,,,"1999-07-18 13:35:52","2013-02-16 10:51:17"
"A. Miller","P. Novack-Gottshall","A. Clement",106,V.,Jaanusson,,,,1963,"Lower and Middle Viruan (Middle Ordovician) of the Siljan district","Bulletin of Geological Institutions of the University of Uppsala",,42,3,1,40,"journal article","stated without evidence",English,,,,,"1999-07-18 13:35:57","2013-02-16 10:52:42"
"A. Miller","P. Novack-Gottshall","A. Clement",108,V.,Jaanusson,,,,1965,"The Viruan (Middle Ordovician) of Kinnekulle and northern Billingen, Vastergotland","Bulletin of Geological Institutions of the University of Uppsala",,43,1,1,73,"journal article","stated without evidence",English,,,,,"1999-07-18 13:36:02","2013-02-16 10:53:14"
"J. Alroy","J. Alroy",,40,D.,Jablonski,"D. M.",Raup,,1999,,,,,,,,,"stated without evidence",,,,,,"1999-04-08 19:00:13","1999-04-09 12:00:13"
"M. Patzkowsky","K. Layou","L. Villier",66,A.,Jaccard,,,,1869,"Jura Vaudois et Neuchatelois","Matériaux pour la carte géologique de la Suisse",,6,,1,340,"serial monograph","stated without evidence",French,,,,,"1999-06-23 09:50:42","2011-11-10 00:21:04"
"L. Villier","L. Villier",,32036,"R. T.",Jackson,,,,1912,"Phylogeny of the Echini, with a revision of Palaeozoic species","Memoirs of the Boston Society of Natural History",,7,,1,491,"journal article","stated without evidence",English,,,,,"2010-02-11 11:49:12","2010-02-12 06:49:12"
"S. Holland","T. Hanson","T. Hanson",7064,"D. E.",Jackson,,,,1966,"On the occurrence of Parabrograptus and Sinograptus from the Middle Ordovician of western Canada","Geological Magazine",,103,30022,263,268,"journal article","stated without evidence",,,,,,"2002-08-31 10:13:28","2002-09-01 03:13:28"
"S. Holland","T. Hanson","T. Hanson",7089,"D. E.",Jackson,"A. C.",Lenz,,1963,"A new species of Monograptus from the Road River Formation, Yukon",Palaeontology,,6,4,751,753,"journal article","stated without evidence",,,,,,"2002-09-05 20:30:18","2002-09-06 13:30:18"
"M. Uhen","M. Uhen",,33321,"L. L.",Jacobs,"A. R.",Fiorillo,"Y. Nishida, E. M. G. Fitzgerald",2009,"Mid-Cenozoic marine mammals from Alaska","Museum of Northern Arizona Bulletin",,65,,171,184,"journal article","stated without evidence",English,,,,,"2010-08-13 13:12:53","2010-08-14 06:12:53"
"M. Carrano","K. Maguire","M. Carrano",13995,"L. L.",Jacobs,"D. A.",Winkler,"P. A. Murry, J. M. Maurice",1994,"A nodosaurid scuteling from the Texas shore of the Western Interior Seaway","In K. Carpenter, K. F. Hirsch & J. R. Horner (eds.), Dinosaur Eggs and Babies. Cambridge: Cambridge University Press",,,,337,346,"book/book chapter","stated without evidence",English,,,ETE,,"2005-07-26 11:29:01","2005-08-23 01:43:55"
"M. Uhen","M. Uhen",,43658,P.,Jadwiszczak,,,,2011,"New data on morphology of late Eocene penguins and implications for their geographic distribution",,,23,6,305,606,"journal article","stated without evidence",English,,,,,"2012-11-29 02:07:53","2012-11-29 02:07:53"
"M. Uhen","M. Uhen",,43659,P.,Jadwiszczak,,,,2012,"Partial limb skeleton of a “giant penguin” Anthropornis from the Eocene of Antarctic Peninsula",,,33,3,259,274,"journal article","stated without evidence",English,,,,,"2012-11-29 02:11:04","2012-11-29 02:11:04"
"M. Patzkowsky","A. Krug","A. Hendy",11255,"J. B.",Jago,,,,1981,"Fossiliferous Cambrian sequences in the Southwestern Pacific part of Gondwanaland","Open-file report",,"OF 81-0743",,93,96,"serial monograph","stated without evidence",English,,"I am not sure what ""Open-file report means,"" so I listed it as a journal article because it seemed to match as well as anything else.",1%,11500,"2004-07-27 10:43:43","2006-08-29 21:28:23"
"W. Kiessling","T. Schossleitner",,23492,"J. B.",Jago,J.-S.,Bao,"P. W. Baillie",2004,"Late Middle Cambrian trilobites from St Valentines Peak and Native Track Tier, northwestern Tasmania",Alcheringa,,28,1,21,52,"journal article","stated without evidence",English,,,,,"2007-03-13 05:40:23","2007-03-13 23:40:47"
"A. Miller","A. Zaffos",,38302,"J. B.",Jago,"K. D.",Corbett,,1990,"Latest Cambrian trilobites from Misery Hill, western Tasmania",Alcheringa,,14,,233,246,"journal article","stated without evidence",English,,,,,"2011-10-25 01:07:51","2011-10-25 01:07:51"
"L. Villier","L. Villier","L. Villier",8606,"J. W. M.",Jagt,,,,1991,"Early Miocene luidiid asteroids (Echinodermata, Asteroidea) from Winterswijk-Miste (The Netherlands)","Contributions to Tertiary and Quaternary Geology",,28,1,35,43,"journal article","stated without evidence",,,,,,"2003-06-02 06:27:42","2003-06-02 23:27:42"
"L. Villier","L. Villier","L. Villier",8661,"J. W. M.",Jagt,,,,2000,"Late Cretaceous-Early Paleocene echinoderms and the K/T boundary in the southeast Netherlands and the northeast Belgium. - part 4: Echinoids","Scripta Geologica",,21,,181,375,"journal article","stated without evidence",,,,,,"2003-06-08 05:36:12","2003-06-08 22:36:19"
"L. Villier","L. Villier","L. Villier",8603,"J. W. M.",Jagt,,,,2001,"Deckersamphiura vitea, a new Late Campanian ophiuroid from southern Limburg (The Netherlands)","Bulletin de l'Institut Royal des Sciences Naturelles de Belgique",,71,,191,193,"journal article","stated without evidence",,,,,,"2003-06-02 05:14:08","2003-06-02 22:14:08"
"P. Mannion","J. Tennant",,46151,"J. W. M.",Jagt,N.,Motchurova-Dekova,"P. Ivanov, H. Capetta, A. S. Schulp",2006,"Latest Cretaceous mosasaurs and lamniform sharks from Labirinta cave, Vratsa district (northwest Bulgaria): a preliminary note","Annales Geologiques de la Peninsule Balkanique",,67,,51,63,"journal article","stated with evidence",English,,,,,"2013-04-05 00:38:37","2013-04-05 00:38:37"
"L. Villier","L. Villier","L. Villier",8657,"J. W. M.",Jagt,E,Wille,,2003,"Pliocene echinoid faunules from Kallo (Antwerp area, NW Belgium)  ","J.P. Feral, B. David (Eds), Echinoderm Research 2001, Swets & Zeitlinger, Lisse",,,,65,67,"book/book chapter","stated without evidence",,,,,,"2003-06-07 01:47:45","2003-06-07 18:47:56"
"A. Hendy","A. Hendy",,30518,"J. W. M.",Jagt,"W. M.","van Bakel","R. H. B. Fraaije",2007,"Palaeodromites crypticus, a new early-middle Cenomanian dynomenid crab (Crustacea, Decapoda) from southern Belgium","Bulletin de L'Institut Royal des Sciences Naturelles de Belgique",,77,,77,82,"journal article","stated with evidence",English,,,,,"2009-08-12 13:47:13","2009-08-13 06:47:13"
"M. Foote","M. Foote","M. Foote",10289,H.,Jahnke,,,,1971,"Fauna und Alter der Erbslochgrauwacke (Brachiopoden und Trilobiten, Unter-Devon, Rheinisches Schiefergebirge und Harz","Goettinger Arbeiten zur Geologie und Palaeontologie",,9,,1,105,"serial monograph","stated without evidence",German,,,,,"2004-04-20 11:45:10","2004-04-21 04:45:10"
"M. Foote","M. Foote","M. Foote",10892,H.,Jahnke,A.,Henn,"H. Mader, J. Schweineberg",1983,"Silur und Devon im Arauz-Gebiet (Prov. Palencia, N-Spanien)","Newsletters on Stratigraphy",,13,1,40,66,"journal article","stated without evidence",German,,,,,"2004-06-22 07:02:22","2004-06-23 00:02:22"
"M. Aberhan","S. Nurnberg","S. Nurnberg",15025,"G. K.",Jakobs,,,,1997,"Toarcian (Early Jurassic) ammonoids from western North America","Geological Survey of Canada, Bulletin",,428,,137pp.,,"serial monograph","stated without evidence",English,,,,,"2005-11-02 04:38:01","2006-03-31 22:02:55"
"W. Kiessling","U. Merkel","J. Pálfy",34480,"G. K.",Jakobs,J.,Pálfy,,1994,"Upper Triassic to Middle Jurassic biostratigraphic and facies studies in the Iskut River map area, northwestern British Columbia","Geological Survey of Canada Current Research",,,E,17,28,"journal article","stated without evidence",English,,,,,"2010-12-10 22:29:55","2011-06-23 17:26:07"
"M. Carrano","M. Carrano","M. Carrano",14470,"S. K.",Jana,"S. S.",Das,,2002,"A report of a 157.8 m.y.-old dinosaur bone from the Jurassic marine Chari Formation, Kutch, Gujarat and its taphonomic significance","Current Science",,82,1,85,88,"journal article","stated without evidence",English,,,ETE,,"2005-09-11 21:51:36","2005-09-12 14:51:36"
"W. Kiessling","U. Merkel",,24622,J.,Jankicevic,D.,Rabrenovic,"V. Radulovic",1983,"Stratigrafske i paleontoloshke karakteristike Lijasa u Zabrdju (Stara Planina) [Stratigraphic and palaeontological characteristics of the Liassic of Zabrde (Stara Planina)]","Geoloski Anali Balkanskoga Poluostrva",,47,,161,182,"journal article","stated without evidence",other,,,1%,10640,"2007-06-12 05:07:09","2007-06-12 22:07:09"
"A. Hendy","A. Hendy",,27104,"A. W.",Janssen,,,,2004,"Holoplanktonic molluscan assemblages (Gastropoda, Heteropoda, Thecosomata) from the Pliocene of Estepona (Spain, Málaga)",Paleontos,,5,,103,131,"journal article","stated with evidence",English,,,,,"2008-04-28 00:00:13","2008-04-28 17:00:13"
"D. Smith","E. Leckey",,25291,"E. A.",Jarzembowski,,,,1981,"An early Cretaceous termite from southern England (Isoptera: Hodotermitidae)","Systematic Entomology",,6,,91,96,"journal article","stated without evidence",English,,,,,"2007-09-09 15:51:59","2007-09-10 08:51:59"
"D. Smith","E. Leckey",,25290,"E. A.",Jarzembowski,,,,1988,"A new aeshnid dragonfly from the Lower Cretaceous of south-east England",Palaeontology,,31,3,763,769,"journal article","stated without evidence",English,,,,,"2007-09-09 15:48:15","2007-09-10 08:48:15"
"D. Smith","E. Leckey","J. Karr",25293,"E. A.",Jarzembowski,,,,1990,"Early Cretaceous zygopteroids of southern England, with the description of Cretacoenagrion alleni gen. nov., spec. nov. (Zygoptera: Coenagrionidae; ""Anisozygoptera"": Tarsophlebiidae, Euthemistidae)",Odontologica,,19,1,27,37,"journal article","stated with evidence",English,,,,,"2007-09-09 16:11:04","2012-06-13 18:45:17"
"M. Clapham","A. Delelli",,41226,"E. A.",Jarzembowski,,,,1991,"New insects from the Weald Clay of the Weald","Proceedings of the Geological Association",,102,2,93,108,"journal article","stated with evidence",English,,,,,"2012-04-21 06:00:05","2012-04-21 06:00:05"
"D. Smith","E. Leckey","J. Karr",25294,"E. A.",Jarzembowski,,,,1995,"Fossil caddisflies (Insecta: Trichoptera) from the Early Cretaceous of southern England","Cretaceous Research",,16,,695,703,"journal article","stated with evidence",English,,,,,"2007-09-09 16:13:17","2011-10-30 12:59:13"
"M. Clapham","M. Clapham",,40101,"E. A.",Jarzembowski,,,,2003,"""Burnt"" beetles (Insecta: Coleoptera) from the Wealden of southern England","Acta Zoologica Cracoviensia",,46,Suppl.,139,145,"journal article","stated with evidence",English,,,,,"2012-02-13 05:10:38","2012-02-13 05:10:38"
"M. Clapham","M. Clapham",,39642,"E. A.",Jarzembowski,X.,Martínez-Delclòs,"G. Bechly, A. Nel, R. Coram, F. Escuillié",1998,"The Mesozoic non-calopterygoid Zygoptera: description of new genera and species from the Lower Cretaceous of England and Brazil and their phylogenetic significance (Odonata, Zygoptera, Coenagrionoidea, Hemiphlebioidea, Lestoidea)","Cretaceous Research",,19,,403,444,"journal article","stated with evidence",English,,,,,"2012-01-23 14:39:33","2012-01-23 14:39:33"
"M. Carrano","M. Carrano","M. Clapham",37501,"E. A.",Jarzembowski,"M. B.",Mostovski,,2000,"A new species of Sinonemestrius (Diptera: Brachycera) from the Weald Clay (Lower Cretaceous, southern England), with a discussion of its affnities and stratigraphical implications","Cretaceous Research",,21,,761,765,"journal article","stated with evidence",English,10.1006/cres.2000.0226,,,,"2011-09-07 05:55:31","2012-01-23 10:25:34"
"M. Clapham","J. Karr",,35431,"E. A.",Jarzembowski,A.,Nel,,1996,"New fossil dragonflies from the Lower Cretaceous of SE England and the phylogeny of the superfamily Libelluloidea (Insecta : Odonata)","Cretaceous Research",,17,,67,85,"journal article","stated with evidence",English,,,,,"2011-03-05 16:40:19","2011-03-05 16:40:19"
"M. Clapham","J. Karr",,38382,"E. A.",Jarzembowski,A.,Nel,,1996,"A new genus and species of hawker dragonfly (Aeshnidae) from the Lower Cretaceous of southern England","Cretaceous Research",,17,,97,101,"journal article","stated with evidence",English,,,,,"2011-10-30 11:04:11","2011-10-30 11:04:11"
"M. Clapham","A. Delelli","A. Delelli",41199,"E. A.",Jarzembowski,A.,Nel,,2002,"The earliest damselfly like insect and the origin of modern dragonflies (Insecta: Odonatoptera: Protozygoptera)","Proceedings of the Geologists' Association",,113,,165,169,"journal article","stated with evidence",English,,,,,"2012-04-19 06:28:44","2012-04-19 06:29:03"
"M. Aberhan","S. Nurnberg","S. Nurnberg",10541,E.,Jaworski,,,,1929,"Eine Lias-Fauna aus Nordwest-Mexiko","Abhandlungen der Schweizerischen Palaeontologischen Gesellschaft ",,48,,1,12,"journal article","stated without evidence",German,,,,,"2004-05-17 23:46:57","2004-06-07 04:05:30"
"M. Patzkowsky","K. Layou",,154,P.,Jeffery,S.,Tracey,,1997,"The Early Eocene London Clay Formation mollusc fauna of the former Bursledon Brickworks, Lower Swanwick, Hampshire","Tertiary Research",,17,3-4,75,137,,"stated without evidence",,,,,,"1999-07-28 10:28:13","1999-07-29 03:28:13"
"W. Kiessling","U. Merkel",,24164,"R. M.",Jeffords,,,,1947,"Pennsylvanian lophophyllidid corals","University of Kansas Paleontological Contributions, Coelenterata",,1,,1,84,"serial monograph","stated without evidence",English,,,1%,21160,"2007-04-26 08:08:39","2007-04-27 01:08:39"
"A. McGowan","A. McGowan",,15417,B.,Jelen,,,,1989,"Karnijska skoljcna favna na lesnem brdu in njen paleobioloski pomen (The Karnian bivalves (Mollusca) from Lseno brdo, Slovenia, NW Yugoslavia and their paleobiological significance",Geologija,,31-32,,11,127,"journal article","stated without evidence",other,,,,,"2005-12-02 05:36:35","2005-12-03 00:36:35"
"A. Miller","A. Hendy",,15084,"J. A.",Jeletzky,,,,1958,"Uppermost Jurassic and Cretaceous rocks of Aklavik Range, Northeastern Richardson Mountains, Northwest Territories","Geological Survey of Canada, Paper",,58,2,1,84,"serial monograph","stated without evidence",English,,,,,"2005-11-06 14:06:47","2005-11-07 09:07:01"
"A. Miller","A. Hendy",,15099,"J. A.",Jeletzky,,,,1961,"Upper Jurassic and Lower Cretaceous rocks, west flank of Richardson Mountains between the headwaters of Blow River and Bell RIver, Yukon Territory","Geological Survey of Canada, Paper",,61,9,1,27,"serial monograph","stated without evidence",English,,,,,"2005-11-08 21:38:25","2005-11-09 16:38:32"
"A. Hendy","A. Hendy",,29425,"J. A.",Jeletzky,,,,1964,"Illustration of canadian fossils. Lower Cretaceous marine index fossils of the sedimentary basins of western and Arctic Canada","Geological Survey of Canada Paper",,64,11,1,101,"serial monograph","stated without evidence",English,,,,,"2009-03-16 15:27:11","2009-03-17 09:27:11"
"A. Hendy","A. Hendy",,29438,"J. A.",Jeletzky,,,,1965,"Thorsteinssonoceras. A new craspeditid ammonitre from the Valanginian of Ellesmere Island, Arctic Archipelago","Geological Survey of Canada Bulletin",,120,,1,16,"serial monograph","stated with evidence",English,,,,,"2009-03-17 10:01:38","2009-03-18 04:01:38"
"A. Hendy","A. Hendy",,29431,"J. A.",Jeletzky,,,,1968,"Macrofossil zones of the marine Cretaceous of the Western Interior of Canada and their correlation with the zones and stages of Europe and the Western Interior of the United States","Geological Survey of Canada Paper",,67,72,1,66,"serial monograph","second hand",English,,,,,"2009-03-17 06:17:34","2009-03-18 00:17:34"
"A. Miller","A. Hendy",,15101,"J. A.",Jeletzky,,,,1975,"Jurassic and Lower Cretaceous paleogeographgy and depositional tectonics of Porcupine Plateau. adjacent areas of Northern Yukon and those of MacKensie District","Geological Survey of Canada, Paper",,74,16,1,52,"serial monograph","stated without evidence",English,,,,,"2005-11-09 08:48:52","2005-11-10 03:49:17"
"A. McGowan","A. McGowan","A. Hendy",13296,"J. A.",Jeletzky,,,,1976,"Mesozoic and ? Tertiary rocks of Quatsino Sound, Vancouver Island, Bristish Columbia","Geological Survey of Canada, Bulletin",,242,,1,243,"serial monograph","stated without evidence",English,,,,,"2005-04-21 07:51:37","2009-04-02 05:39:33"
"A. Hendy","A. Hendy",,29472,"J. A.",Jeletzky,,,,1979,"Eurasian craspeditid genera Temnoptychites and Tollia in the lower Valanginian of Sverdrup Basin, District of Franklin","Geological Survey of Canada Bulletin",,299,,1,89,"serial monograph","stated with evidence",English,,,,,"2009-03-19 08:23:37","2009-03-20 02:23:37"
"A. Hendy","A. Hendy",,29484,"J. A.",Jeletzky,,,,1980,"New or formerly poorly known, biochronologically and paleobiogeographically important gastroplitinid and cleoniceratinid (Ammonitida) taxa from Middle Albian rocks of mid-western and Arctic Canada","Geological Survey of Canada Paper",,79,22,1,63,"serial monograph","stated with evidence",English,,,,,"2009-03-19 16:06:57","2009-03-20 10:06:57"
"A. Hendy","A. Hendy",,29466,"J. A.",Jeletzky,E.,Kemper,,1988,"Comparative paleontology and stratigraphy of Valanginian Polyptychitinae and Simbirskitinae in Sverdrup Basin (Arctic Canada) and lower Saxony Basin (northwest Germany)","Geological Survey of Canada Bulletin",,377,,1,220,"serial monograph","stated with evidence",English,,,,,"2009-03-18 19:29:18","2009-03-19 13:29:18"
"M. Foote","M. Foote","M. Foote",10590,"P. A.",Jell,,,,1983,"Early Devonian echinoderms from Victoria (Rhombifera, Blastoidea and Ophiocistoidea)","Memoirs of the Association of Australasian Palaeontologists",,1,,209,235,"journal article","stated without evidence",,,,,,"2004-05-24 10:50:20","2004-05-25 03:50:20"
"J. Alroy","M. Sommers","J. Alroy",20,P.,Jell,,,,1997,"Early Carboniferous ophiuroids from Crawfordsville, Indiana","Journal of Paleontology",,71,2,306,316,"journal article","stated without evidence",,,,,,"1999-02-25 08:26:49","2009-11-23 09:25:29"
"M. Foote","M. Foote","M. Foote",10563,"P. A.",Jell,,,,1999,"Silurian and Devonian crinoids from central Victoria","Memoirs of the Queensland Museum",,43,1,1,114,"journal article","stated without evidence",,,,,,"2004-05-20 14:00:17","2004-05-21 07:00:25"
"L. Villier","L. Villier",,28039,P.,Jell,P.,Baillie,,1984,"Stenaster obtusus (Forbes 1848) from the Early Silurian of Tasmania","Journal of Paleontology",,58,1,272,274,"journal article","stated with evidence",English,,,,,"2008-08-22 13:22:23","2008-08-23 06:22:23"
"A. Miller","P. Novack-Gottshall","P. Wagner",651,"P. A.",Jell,"C. F.",Burrett,"B. Stait, E. L. Yochelson",1984,"The early Ordovician bellerophontid Peelerophon oehlerti (Bergeron) from Argentina, Australia and Thailand",Alcheringa,,8,3,169,176,"journal article","stated with evidence",English,10.1080/03115518408618941,,,,"2002-03-04 16:40:33","2008-12-01 15:23:44"
"M. Foote","M. Foote","M. Foote",7181,"P. A.",Jell,"D. J.",Holloway,,1983,"Devonian and ?Late Silurian Palaeontology of the Winneke Reservoir Site, Christmas Hills, Victoria","Proceedings of the Royal Society of Victoria",,95,1,1,21,"journal article","stated without evidence",,,,,,"2002-09-23 13:31:50","2002-09-24 06:31:50"
"M. Foote","M. Foote","M. Foote",9617,"P. A.",Jell,"J. N.",Theron,,1999,"Early Devonian echinoderms from South Africa","Memoirs of the Queensland Museum",,43,1,115,199,"journal article","stated without evidence",,,,,,"2003-12-29 11:48:56","2003-12-30 06:48:56"
"J. Alroy","J. Alroy",,19979,"T. B. H.",Jenkins,,,,1968,"Famennian ammonoids from New South Wales",Palaeontology,,11,4,535,548,"journal article","stated with evidence",English,,,,,"2007-02-24 18:03:41","2007-02-25 13:03:41"
"A. Hendy","A. Hendy",,31105,"R. J. F.",Jenkins,,,,1975,"The fossil crab Ommatocarcinus corioensis (Cresswell) and a review of related Australiasian species","Memoirs of the National Museum of Victoria",,36,,33,62,"journal article","stated with evidence",English,,,,,"2009-11-05 06:17:41","2009-11-06 01:17:41"
"M. Carrano","M. Oreska",,33033,"J. A.",Jensen,,,,1987,"New brachiosaur material from the Late Jurassic of Utah and Colorado","Great Britain Naturalist",,47,4,592,608,"journal article","stated without evidence",English,,,ETE,,"2010-07-01 13:18:26","2010-07-02 06:18:26"
"M. Patzkowsky","P. Borkow",,858,S.,Jensen,,,,1990,"Predation by early Cambrian trilobites on infaunal worms - evidence from the Swedish Mickwitzia Sandstone",Lethaia,,23,1,29,42,"journal article","stated without evidence",,,,,,"2001-01-29 09:52:40","2001-01-30 04:52:40"
"W. Kiessling","W. Kiessling","W. Kiessling",13813,S.,Jensen,"J. G.",Gehling,"M. L. Droser",1998,"Ediacara-type fossils in Cambrian sediments",Nature,,393,,567,569,"journal article","stated without evidence",English,,,,,"2005-06-29 07:47:59","2005-06-30 00:47:59"
"M. Clapham","M. Clapham",,35668,J.,Jepson,J.,Ansorge,"E. A. Jarzembowski",2011,"New snakeflies (Insecta: Raphidioptera) from the Lower Cretaceous of the UK, Spain and Brazil",Palaeontology,,54,2,385,395,"journal article","stated with evidence",English,,,,,"2011-03-30 03:57:45","2011-03-30 03:57:45"
"M. Clapham","M. Clapham",,39593,"J. E.",Jepson,"R. A.",Coram,"E. A. Jarzembowski",2009,"Raphidioptera (Insecta: Neuropterida) from the Lower Cretaceous Purbeck Limestone Group, Dorset, UK","Cretaceous Research",,30,,527,532,"journal article","stated with evidence",English,,,,,"2012-01-22 11:24:49","2012-01-22 11:24:49"
"M. Clapham","M. Clapham",,39590,"J. E.",Jepson,"V. N.",Makarkin,"E. A. Jarzembowski",2009,"New lacewings (Insecta: Neuroptera) from the Lower Cretaceous Wealden supergroup of Southern England","Cretaceous Research",,30,,1325,1338,"journal article","stated with evidence",English,,,,,"2012-01-22 10:27:57","2012-01-22 10:27:57"
"L. Ivany","P. Wall","P. Wall",12554,B.Y.,Jiang,C.,Huawei,"S. Jingeng",2004,"Early Cretaceous Aucellina (bivalvia) from the Dajiashan area, northeastern China","Journal of Asian Earth Sciences",,23,,365,371,"journal article","stated without evidence",,,,,,"2005-02-08 12:34:14","2005-02-09 07:34:14"
"A. Miller","P. Novack-Gottshall",,286,R.,Jin,S.,Cai,,1988,"Regional Geology of GuangDong Province","Special Publication of China Minister of Geology and Mining, No.9.  Geology Publishing House",,,,1,?,,"stated without evidence",,,,,,"1999-08-15 11:21:25","1999-08-16 04:21:25"
