genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Multiloqua,161.200,155.700,1,1,0.1000
Multimurinus,298.900,265.000,8,0,NaN
Multiporina,33.900,5.332,4,0,NaN
Multiptyxis,155.700,93.500,8,5,0.2777
Multisolenia,439.000,418.700,55,0,NaN
Multisparsa,171.600,167.700,2,0,NaN
Multispinula,460.900,449.500,3,0,NaN
Multispongia,466.000,460.900,1,0,NaN
Multistella,272.500,268.000,1,1,1.0000
Multithecopora,412.300,252.300,54,8,0.3966
Multitubigera,140.200,136.400,2,0,NaN
Multivasculatus,501.000,488.300,1,0,NaN
Multizonopora,140.200,136.400,2,0,NaN
Mummaspis,516.000,513.000,1,0,NaN
Munditiella,37.200,0.781,4,0,NaN
Mundocephalina,520.000,516.000,2,0,NaN
Munida,145.500,65.500,1,0,NaN
Munija,501.000,488.300,1,0,NaN
Muracypraea,15.970,5.0,2,1,0.0037
Murania,155.700,122.460,6,0,NaN
Murchisonia,460.900,232.000,173,28,0.0274
Murchisoniceras,418.700,416.000,4,0,NaN
Murex,33.900,0.012,39,16,0.0226
Murexiella,28.400,2.588,3,0,NaN
Muricanthus,33.900,2.588,4,0,NaN
Muriceras,488.300,466.000,12,11,0.0631
Muricodrupa,0.012,0.000,2,2,0.0305
Muricotrochus,171.600,155.700,2,0,NaN
Muriferella,416.000,391.900,11,5,0.0313
Murravechinus,15.970,13.650,1,0,NaN
Murravia,33.900,15.970,3,0,NaN
Murrayoceras,460.900,449.500,2,2,0.1822
Murraypneustes,15.970,13.650,1,0,NaN
Murrinyinella,513.000,501.000,4,0,NaN
Musandamia,221.500,205.600,3,0,NaN
Musculina,140.200,136.400,1,0,NaN
Musculus,171.600,0.000,44,17,0.0166
Mussa,20.430,0.007145,23,4,0.0329
Mussismilia,28.400,0.00303,36,10,0.0483
Mussooriella,542.000,530.000,1,0,NaN
Mutationella,416.000,412.300,1,0,NaN
Mutiella,70.600,65.500,3,2,0.0257
Mutilus,12.700,5.332,4,0,NaN
Mya,167.700,0.000,11,4,0.2867
Myadora,0.126,0.012,5,4,0.0378
Myalina,455.800,242.000,98,22,0.0207
Myalinella,279.500,247.200,36,31,0.0302
Mycedium,5.332,0.086,5,0,NaN
Mycerosia,164.700,155.700,3,0,NaN
Mycetaraea,150.800,122.460,4,0,NaN
Mycetophyllia,70.600,0.121,62,23,0.0390
Myeinocystites,452.000,449.500,5,0,NaN
Myelodactylus,443.700,382.400,19,0,NaN
Myliusia,99.600,93.500,1,1,0.0198
Myloceras,105.300,99.600,13,0,NaN
Myoconcha,279.500,65.500,66,23,0.0172
Myodelthyrium,295.000,290.100,2,0,NaN
Myofossa,318.100,279.500,3,0,NaN
Myonia,290.100,252.300,4,0,NaN
Myopholas,164.700,109.000,10,4,0.0115
Myophorella,189.600,140.200,86,43,0.0393
Myophoria,455.800,201.600,111,41,0.0468
Myophoricardium,235.000,205.600,2,1,0.4706
Myophorigonia,215.560,189.600,6,2,0.0328
Myophoriopis,247.200,201.600,17,4,0.0537
Myopophlebia,183.000,182.000,1,1,0.0667
Myoproetus,409.100,391.900,2,0,NaN
Myopugnax,298.900,295.000,5,0,NaN
Myra,3.600,2.588,1,0,NaN
Myrakeena,0.126,0.012,1,0,NaN
Myrene,155.700,150.800,4,2,0.0846
Myriapora,7.246,5.332,1,0,NaN
Myriophyllia,235.000,105.300,54,6,0.0164
Myriophyllum,235.000,189.600,20,4,0.0832
Myrioporina,161.200,145.500,1,0,NaN
Myriospirifer,428.200,391.900,8,2,0.0924
Myrmecium,161.200,155.700,2,0,NaN
Myrmicium,150.800,140.200,24,20,0.0285
Myrmirhynx,439.000,421.300,2,0,NaN
Myrtea,89.300,7.246,22,3,0.0351
Mysella,2.588,0.012,3,0,NaN
Mysidiella,232.000,205.600,7,2,0.0341
Mysidioptera,247.200,201.600,25,9,0.0143
Mysterioceras,466.000,455.800,5,0,NaN
Mysticoceras,488.300,468.100,1,0,NaN
Mysticocrinus,428.200,422.900,2,0,NaN
Mystrocephala,409.100,388.100,2,0,NaN
Mystrophora,412.300,383.700,4,1,0.0251
Mytilarca,445.600,336.000,46,8,0.0053
Mytilaster,70.600,11.608,6,0,NaN
Mytilidesmatella,259.000,254.000,2,0,NaN
Mytiloides,99.600,85.800,147,15,0.1235
Mytilopsis,11.608,0.012,2,0,NaN
Mytilus,252.300,0.012,118,25,0.0141
Mytoconula,468.100,460.900,3,0,NaN
Myurella,33.900,15.970,6,0,NaN
Nabarredia,416.000,412.300,2,0,NaN
Nabaviella,520.000,513.000,3,0,NaN
Naccula,0.126,0.012,1,0,NaN
Nacella,11.608,5.332,2,0,NaN
Nadiastrophia,412.300,388.100,9,2,0.0082
Nadotia,388.100,383.700,4,0,NaN
Nagaproetus,391.900,388.100,6,0,NaN
Nagyella,247.200,235.000,5,0,NaN
Nahannagnostus,501.000,488.300,2,0,NaN
Nahannia,468.100,449.500,9,4,0.0218
Naiadites,318.100,306.950,4,0,NaN
Naimania,460.900,449.500,1,0,NaN
Naimarkcyathus,516.000,513.000,1,0,NaN
Nairites,215.560,212.000,2,0,NaN
Najadospirifer,412.300,391.900,8,5,0.0378
Nakamuranaia,161.200,99.600,4,0,NaN
Nakimusiella,254.000,252.300,3,0,NaN
Nalivkinaria,402.500,391.900,1,0,NaN
Nalivkinella,376.100,360.700,5,0,NaN
Nalivkinia,460.900,426.200,10,1,0.3023
Nalivkinicyathus,520.000,513.000,6,0,NaN
Namanoia,516.000,513.000,2,0,NaN
Nammalites,251.300,247.200,15,5,0.6818
Namuropyge,360.700,326.400,12,4,0.0578
Nanahughmilleria,426.200,422.900,1,0,NaN
Nangaoia,513.000,505.000,3,0,NaN
Nanillaenus,468.100,449.500,21,13,0.0327
Nankinolithus,455.800,445.600,8,0,NaN
Nannamoria,15.970,2.588,8,0,NaN
Nanningites,252.300,251.300,1,0,NaN
Nannirhynchia,189.600,182.000,26,24,0.0243
Nannites,232.000,221.500,1,0,NaN
Nanno,460.900,457.500,2,0,NaN
Nannobelus,196.500,189.600,3,2,0.0148
Nannogomphus,150.800,145.500,5,5,0.0232
Nannovascoceras,93.500,89.300,1,0,NaN
Nanochilina,409.100,259.000,2,2,0.0080
Nanogyra,196.500,145.500,311,194,0.1061
Nanonavis,155.700,65.500,27,10,0.0417
Nanorthis,488.300,471.800,42,0,NaN
Nanothyris,412.300,409.100,2,0,NaN
Nansenopora,290.100,279.500,1,0,NaN
Nanshanophyllum,436.000,428.200,2,0,NaN
Nantanella,290.100,279.500,4,2,0.3873
Nanukidium,421.300,418.700,2,0,NaN
Naoides,360.700,345.300,1,0,NaN
Naos,428.200,421.300,2,0,NaN
Napulus,83.500,65.500,37,22,0.0112
Nardophyllum,416.000,388.100,3,0,NaN
Nargunella,409.100,391.900,2,0,NaN
Naricopsina,167.700,161.200,11,8,0.0148
Narthecoceras,452.000,443.700,9,1,1.0000
Nassa,65.500,0.119,14,0,NaN
Nassaria,33.900,0.012,3,2,0.0298
Nassarius,33.900,0.121,66,9,0.0305
Nassicola,28.400,23.030,1,0,NaN
Nastosia,171.600,167.700,3,0,NaN
Nasutocrinus,235.000,212.000,4,0,NaN
Natalijaecyathus,520.000,516.000,1,0,NaN
Natalophyllum,391.900,370.600,15,3,0.0045
Nathorstites,242.000,232.000,6,2,0.8951
Natica,345.000,0.000,279,61,0.0143
Naticarius,28.400,0.012,19,1,0.0009
Naticasinus,254.000,252.300,1,0,NaN
Naticonema,443.700,383.700,9,0,NaN
Naticonoda,388.100,383.700,3,0,NaN
Naticopsis,428.200,205.600,317,119,0.0195
Natirhenia,388.100,383.700,2,0,NaN
Natiria,298.900,247.200,17,4,0.0136
Natiscotecella,445.600,443.700,1,0,NaN
Naukat,516.000,513.000,1,1,0.0136
Naustia,501.000,488.300,2,0,NaN
Nautilus,298.900,23.030,39,1,0.0047
Navispira,421.300,416.000,3,0,NaN
Nayadina,99.600,40.400,5,1,0.0119
Naybandella,212.000,205.600,3,0,NaN
Naybandospongia,212.000,205.600,1,1,1.0000
Neancyloceras,83.500,70.600,3,0,NaN
Neaxon,416.000,306.950,8,0,NaN
Nebenothyris,339.400,336.000,1,0,NaN
Nebrodites,150.800,150.800,9,1,0.0698
Necklania,418.700,416.000,5,0,NaN
Necrocarcinus,93.500,61.700,2,0,NaN
Necronectes,13.650,11.608,2,0,NaN
Necrotaulius,205.600,182.000,5,5,0.0749
Nefocoenia,89.300,85.800,1,0,NaN
Nefophyllia,99.600,70.600,4,0,NaN
Negoporites,99.600,70.600,20,1,0.0009
Neilo,65.500,15.970,4,0,NaN
Neiloides,70.600,65.500,6,0,NaN
Neilonella,70.600,61.700,16,0,NaN
Neilsonia,345.000,272.500,11,5,0.0125
Neimongolidiscus,409.100,391.900,1,1,0.0811
Neithea,136.400,61.700,183,35,0.0271
Neithella,70.600,65.500,1,0,NaN
Nejdia,183.000,175.600,3,0,NaN
Nekhorosheviella,488.300,478.600,2,0,NaN
Nelegeria,516.000,513.000,1,0,NaN
Nellia,65.500,5.332,19,0,NaN
Neltneria,520.000,516.000,2,0,NaN
Nelumbifolium,235.000,221.500,2,0,NaN
Nemagraptus,460.900,455.800,2,0,NaN
Nematocrania,272.500,268.000,7,7,0.0067
Nematopora,468.100,254.000,14,1,0.0132
Nematoporella,449.500,443.700,2,0,NaN
Nematosalpinx,422.900,418.700,6,0,NaN
Nematotrypa,345.300,318.100,1,0,NaN
Nemesa,391.900,388.100,1,1,0.0327
Nemistium,336.000,318.100,1,0,NaN
Nemocardium,125.450,0.012,46,10,0.0093
Nemoceratina,242.000,235.000,2,0,NaN
Nemodon,201.600,55.800,68,13,0.0111
Nenoticidaris,171.600,150.800,2,2,0.0200
Neoaganides,279.500,252.300,2,0,NaN
Neoagnostus,498.500,478.600,16,0,NaN
Neoamphissites,259.000,252.300,7,0,NaN
Neoanomocarella,513.000,501.000,4,0,NaN
Neoaricoceras,268.000,265.000,1,0,NaN
Neobeatricea,428.200,422.900,2,0,NaN
Neobeyrichia,428.200,416.000,19,0,NaN
Neobothriocidaris,455.800,449.500,5,0,NaN
Neobrachyelasma,428.200,418.700,3,0,NaN
Neocaeniopsis,125.450,70.600,9,4,0.0311
Neocallichirus,3.600,2.588,1,0,NaN
Neocalmonia,383.700,382.400,15,2,1.0000
Neocamptocrinus,290.100,272.500,11,0,NaN
Neocaprina,99.600,93.500,8,0,NaN
Neocatopygus,55.800,48.600,1,0,NaN
Neochetoceras,150.800,145.500,24,2,0.0047
Neochilina,360.700,345.300,1,0,NaN
Neochonetes,345.000,251.300,379,155,0.1461
Neoclathrodictyon,418.700,416.000,2,0,NaN
Neoclavinautilus,254.000,252.300,1,0,NaN
Neoclisiophyllum,345.300,318.100,2,0,NaN
Neocobboldia,516.000,513.000,2,0,NaN
Neocoenia,112.030,65.500,8,1,0.0341
Neocolumnaria,409.100,391.900,1,0,NaN
Neocomiceramus,136.400,136.400,1,0,NaN
Neocomites,161.200,130.000,44,3,0.0281
Neoconophyllia,247.200,235.000,4,0,NaN
Neocosmoceras,145.500,140.200,5,1,0.0833
Neocrania,37.200,0.781,3,0,NaN
Neocrassina,201.600,140.200,71,45,0.0316
Neocrimites,290.100,259.000,15,3,0.0188
Neocrinus,23.030,15.970,1,0,NaN
Neocrioceras,89.300,85.800,1,1,0.0606
Neocycloceras,391.900,252.300,12,2,0.0613
Neocyclocystoides,388.100,383.700,1,0,NaN
Neocypricardinia,345.300,326.400,1,0,NaN
Neocyrtina,247.200,242.000,1,0,NaN
Neocyrtolites,412.300,409.100,1,1,0.0148
Neocystiphyllum,428.200,418.700,9,0,NaN
Neodeshayesites,125.450,109.000,19,0,NaN
Neodimorphoceras,326.400,298.900,5,1,1.0000
Neodomatoceras,290.100,279.500,1,1,0.0004
Neodonaldina,247.200,232.000,2,2,0.0137
Neoeridocampylus,265.000,259.000,1,0,NaN
Neoeridotrypella,268.000,265.000,6,1,0.0714
Neoeunema,235.000,232.000,1,0,NaN
Neofascicosta,235.000,221.500,3,0,NaN
Neogeoceras,272.500,254.000,4,1,0.5000
Neogloborilus,520.000,516.000,2,0,NaN
Neoglyphioceras,339.400,336.000,3,0,NaN
Neoglyptoxoceras,83.500,70.600,3,2,0.4714
Neogriffithides,298.900,265.000,12,0,NaN
Neogrootia,298.900,295.000,1,0,NaN
Neoguadalupia,259.000,254.000,1,1,0.1429
Neoguraleus,28.400,15.970,3,0,NaN
Neoharpoceras,105.300,93.500,4,4,0.0109
Neohaustator,5.332,3.600,1,0,NaN
Neoheliospongia,265.000,252.300,9,0,NaN
Neohibolites,122.460,99.600,5,0,NaN
Neohimavatites,215.560,212.000,1,1,0.1667
Neohoploceras,140.200,136.400,13,1,0.0714
Neoicoceras,318.100,311.450,2,0,NaN
Neoinoceramus,23.030,15.970,2,0,NaN
Neokaipingoceras,478.600,466.000,2,0,NaN
Neokentroceras,105.300,99.600,9,9,0.0081
Neokoninckophyllum,318.100,295.000,8,0,NaN
Neolaganum,40.400,33.900,4,1,0.0870
Neolageniocrinus,313.800,305.900,1,0,NaN
Neolenus,513.000,498.500,3,0,NaN
Neoliothyrina,99.600,83.500,3,2,0.0372
Neolissoceras,145.500,130.000,34,8,0.1327
Neolobites,99.600,93.500,3,1,0.3500
Neoloculicyathus,520.000,513.000,28,1,0.1364
Neomegalodon,242.000,201.600,99,2,0.8797
Neomicrorbis,93.500,70.600,3,0,NaN
Neomiodon,161.200,140.200,2,0,NaN
Neomonoceratina,0.012,0.000,1,0,NaN
Neomorphotis,247.200,242.000,9,0,NaN
Neomphyma,416.000,383.700,29,0,NaN
Neomultithecopora,360.700,259.000,18,0,NaN
Neomunella,298.900,295.000,2,0,NaN
Neonesidea,58.700,0.000,3,0,NaN
Neopagetina,516.000,513.000,3,0,NaN
Neopalaeaster,345.300,342.800,1,1,1.0000
Neopaliphyllum,428.200,418.700,3,0,NaN
Neoparaliospira,412.300,409.100,1,0,NaN
Neopecten,221.500,212.000,1,0,NaN
Neophlycticeras,105.300,93.500,57,2,0.0134
Neophricadothyris,303.400,265.000,35,3,0.0790
Neoplatycrinus,290.100,279.500,1,1,0.1250
Neoplatystrophia,428.200,426.200,3,0,NaN
Neoplicatifera,290.100,254.000,33,2,0.0436
Neopoliellina,520.000,513.000,4,0,NaN
Neopolypora,279.500,272.500,1,0,NaN
Neopopanoceras,272.500,259.000,15,0,NaN
Neoproetus,298.900,254.000,8,0,NaN
Neopronorites,303.400,268.000,29,14,0.0397
Neoprotrachyceras,235.000,221.500,1,0,NaN
Neopsilocamara,254.000,252.300,1,0,NaN
Neoptychites,93.500,89.300,17,1,0.0435
Neoptyxis,136.400,93.500,5,2,0.0196
Neopycnodonte,20.430,0.012,11,0,NaN
Neoradiolites,99.600,65.500,8,0,NaN
Neoretzia,247.200,201.600,20,7,0.0426
Neorichthofenia,254.000,252.300,1,0,NaN
Neoroemeria,298.900,295.000,3,3,0.1984
Neorthonema,235.000,232.000,1,0,NaN
Neoschizodus,259.000,201.600,99,54,0.0359
Neoshumardites,303.400,279.500,3,2,0.0475
Neosichuanoceras,436.000,428.200,1,0,NaN
Neosirenites,232.000,221.500,1,0,NaN
Neospirifer,360.700,252.300,473,85,0.0868
Neospirigerina,416.000,409.100,6,0,NaN
Neospongophylloides,388.100,383.700,3,0,NaN
Neostenopoceras,254.000,252.300,1,0,NaN
Neostlingoceras,99.600,93.500,8,8,0.0772
Neostrophia,466.000,460.900,1,0,NaN
Neosyringopora,296.400,293.000,16,3,0.2554
Neosyringostroma,388.100,383.700,2,0,NaN
Neotabularia,412.300,402.500,2,0,NaN
Neotainoceras,254.000,252.300,1,0,NaN
Neothrincoceras,290.100,279.500,3,3,0.0017
Neotollia,140.200,136.400,2,0,NaN
Neotornquistia,272.500,268.000,3,3,0.0089
Neotrematopora,391.900,388.100,1,0,NaN
Neotreta,513.000,498.500,8,2,0.7500
Neotrigonia,15.970,5.332,2,0,NaN
Neotryplasma,460.900,449.500,1,0,NaN
Neowormsipora,460.900,449.500,1,0,NaN
Neozaphrentis,449.500,259.000,39,0,NaN
Neozeacrinus,290.100,272.500,3,2,0.0146
Neozeilleria,180.100,175.600,2,0,NaN
Nepasitoechia,360.700,345.300,1,1,0.3488
Nephelophyllum,303.400,272.500,7,1,0.0455
Nephranops,376.100,360.700,1,0,NaN
Nephriticeras,388.100,383.700,8,0,NaN
Nephrolenellus,516.000,513.000,2,2,0.4384
Neptunopecten,279.500,109.000,2,0,NaN
Nereidella,478.600,466.000,4,0,NaN
Nerinea,189.600,70.600,184,26,0.0348
Nerinella,265.000,99.600,59,42,0.0402
Nerineopsis,130.000,125.450,1,1,0.1481
Nerinoides,196.500,125.450,5,4,0.0201
Nerita,268.000,0.000,76,4,0.0012
Neritaria,252.300,182.000,75,51,0.0219
Neritina,235.000,0.113,17,4,0.0074
Neritoma,265.000,125.450,20,11,0.0543
Neritoplica,164.700,61.700,2,2,0.0197
Neritopsis,247.200,0.007711,58,23,0.0281
Nerrhena,388.100,383.700,8,0,NaN
Nerthastraea,33.900,20.430,6,0,NaN
Nervophyllum,336.000,318.100,1,0,NaN
Nervostrophia,412.300,370.600,100,15,0.0369
Neseuretus,488.300,455.800,13,1,0.1045
Netschajewia,259.000,254.000,2,2,0.0127
Nettersheimia,391.900,388.100,1,0,NaN
Neumanella,418.700,416.000,1,0,NaN
Neumatoceras,471.800,449.500,13,5,0.0284
Neuqueniceras,164.700,161.200,1,0,NaN
Neuropora,171.600,150.800,20,4,0.0203
Nevadacrinus,290.100,279.500,3,3,0.0258
Nevadacyathus,530.000,513.000,4,0,NaN
Nevadapecten,242.000,235.000,1,0,NaN
Nevadaphyllites,201.600,196.500,6,0,NaN
Nevadathalamia,221.500,205.600,35,2,0.2209
Nevadella,520.000,513.000,9,3,0.3332
Nevadia,516.000,513.000,6,5,0.7307
Nevadisculites,247.200,242.000,28,28,0.2488
Nevadites,247.200,235.000,12,2,0.0048
Nevadocoelia,471.800,468.100,6,0,NaN
Nevadotheca,520.000,513.000,1,0,NaN
Nevenulora,70.600,65.500,11,0,NaN
Neverita,48.600,0.012,22,3,0.0225
Newaagia,247.200,201.600,16,8,0.0218
Newberria,391.900,383.700,11,2,0.0004
Newellites,265.000,259.000,1,0,NaN
Newportopora,471.800,449.500,5,0,NaN
Newsomella,428.200,422.900,2,0,NaN
Newsomites,428.200,376.100,21,0,NaN
Nexospongia,478.600,468.100,1,1,1.0000
Nezamyslia,416.000,402.500,3,0,NaN
Nganasanella,501.000,488.300,3,0,NaN
Nganki,513.000,501.000,12,0,NaN
Nibiconia,449.500,443.700,1,0,NaN
Nicaeotrochus,33.900,28.400,1,0,NaN
Nicaisolopha,70.600,65.500,14,0,NaN
Nicaniella,221.500,145.500,82,70,0.0252
Nicella,70.600,65.500,1,0,NaN
Nicholsites,247.200,242.000,8,8,0.3247
Nicholsonella,478.600,422.900,40,0,NaN
Nicholsoniella,376.100,360.700,1,0,NaN
Nicklesia,130.000,125.450,4,0,NaN
Nicklesopora,318.100,298.900,2,0,NaN
Nicolella,463.500,445.600,13,0,NaN
Nicomedites,247.200,242.000,37,33,0.3943
Nielsenicrinus,83.500,65.500,6,0,NaN
Nieszkowskia,471.800,468.100,5,0,NaN
Nigericeras,93.500,89.300,2,0,NaN
Nigerinoplica,376.100,370.600,11,0,NaN
Nikatheca,542.000,520.000,4,0,NaN
Nikiforovaena,412.300,409.100,3,0,NaN
Nikitinia,254.000,252.300,1,0,NaN
Nikitinoceras,140.200,136.400,2,0,NaN
Nikolaispira,460.900,445.600,6,5,0.0683
Nileoides,468.100,457.500,5,0,NaN
Nileus,488.300,452.000,71,2,0.1222
Ninella,520.000,516.000,5,0,NaN
Ningkianolithus,478.600,455.800,3,0,NaN
Ninglangella,254.000,252.300,1,0,NaN
Ningqiangolites,436.000,428.200,2,0,NaN
Niobe,488.300,457.500,12,0,NaN
Niobella,498.500,471.800,13,0,NaN
Niobides,478.600,466.000,1,0,NaN
Niobrarateuthis,89.300,83.500,4,0,NaN
Niorhynx,439.000,422.900,6,0,NaN
Nipponaspis,318.100,306.950,1,0,NaN
Nipponirhynchia,295.000,290.100,1,1,0.0625
Nipponitrigonia,161.200,99.600,14,0,NaN
Nippononaia,161.200,99.600,3,0,NaN
Nippononectes,70.600,65.500,2,0,NaN
Nipponophyllum,443.700,409.100,7,0,NaN
Nipponothracia,83.500,70.600,1,0,NaN
Nipterocrinus,360.700,342.800,2,1,0.0612
Niso,23.030,0.012,5,1,0.0026
Nisusia,520.000,498.500,24,2,0.3254
Nitanoceras,242.000,235.000,1,0,NaN
Nitidiclavus,5.332,2.588,8,8,0.0847
Nitidocare,428.200,426.200,2,0,NaN
Niutoushania,259.000,254.000,1,0,NaN
Niviconia,279.500,268.000,16,0,NaN
Nix,326.400,318.100,1,0,NaN
Nixonella,501.000,488.300,1,0,NaN
Nobiliasaphus,466.000,445.600,4,0,NaN
Nochoroicyathellus,520.000,516.000,2,0,NaN
Nochoroicyathus,530.000,513.000,269,0,NaN
Nochoroiella,530.000,516.000,2,0,NaN
Noctuicrinus,388.100,383.700,1,0,NaN
Nocturnellia,478.600,468.100,2,0,NaN
Nodambichilina,460.900,449.500,7,0,NaN
Nodeuomphalus,388.100,383.700,7,0,NaN
Nodibeyrichia,418.700,416.000,4,0,NaN
Nodicoeloceras,183.000,182.000,1,0,NaN
Nodinella,388.100,383.700,4,0,NaN
Nodipecten,23.030,0.12,14,2,0.0468
Nodobairdia,205.600,201.600,1,0,NaN
Nodoconus,212.000,205.600,1,1,0.0020
Nododelphinula,167.700,65.500,6,1,0.0135
Nodonema,391.900,388.100,4,1,0.0112
Nodophilomedes,259.000,254.000,1,0,NaN
Nodopleuroceras,254.000,252.300,2,0,NaN
Nodoprosopon,150.800,145.500,1,0,NaN
Nodosohoplites,125.450,112.030,2,0,NaN
Nodozyga,336.000,326.400,1,1,0.0016
Nodulispira,409.100,391.900,1,1,0.2162
Noelaspis,501.000,488.300,5,0,NaN
Noetia,55.800,0.126,6,1,0.0058
Noetlingaster,70.600,65.500,1,0,NaN
Noetlingiconcha,247.200,242.000,1,0,NaN
Nolaniceras,125.450,112.030,4,0,NaN
Nomgoliella,530.000,520.000,1,0,NaN
Nomismoceras,339.400,336.000,2,0,NaN
Nonactaeonina,83.500,65.500,4,2,0.0044
Nonorios,455.800,443.700,4,0,NaN
Noradonta,468.100,460.900,2,0,NaN
Nordenskjoeldia,70.600,65.500,8,0,NaN
Nordophiceras,251.300,247.200,1,0,NaN
Nordospira,318.100,268.000,3,3,1.0000
Nordotoechia,412.300,391.900,2,0,NaN
Norella,247.200,215.560,20,7,0.0054
Noriaster,221.500,205.600,1,1,1.0000
Noriphyllia,235.000,215.560,3,0,NaN
Norites,247.200,235.000,39,31,0.0319
Normannites,171.600,167.700,3,0,NaN
Norrisia,61.700,61.700,1,1,0.0002
Norwoodia,501.000,488.300,1,0,NaN
Nostoceras,83.500,65.500,31,14,0.0044
Notabilitus,530.000,520.000,2,0,NaN
Notaiella,488.300,478.600,1,0,NaN
Notanoplia,418.700,388.100,2,0,NaN
Nothophyllum,298.900,295.000,1,0,NaN
Nothopindax,298.900,295.000,3,0,NaN
Nothorthis,488.300,460.900,8,3,0.2395
Notiocatillocrinus,298.900,252.300,1,0,NaN
Notiochonetes,409.100,402.500,1,0,NaN
Notirus,23.030,15.970,1,0,NaN
Notoastarte,171.600,164.700,1,1,1.0000
Notocallista,28.400,15.970,5,0,NaN
Notocarpos,422.900,418.700,1,0,NaN
Notochlamys,23.030,15.970,1,0,NaN
Notoconularia,295.000,290.100,3,0,NaN
Notocyathus,37.200,0.082,8,1,0.0278
Notodelphinula,167.700,164.700,2,0,NaN
Notodonax,70.600,61.700,2,1,0.0002
Notogrammatodon,48.600,37.200,1,0,NaN
Notokistus,205.600,201.600,1,1,0.0370
Notoleptaena,412.300,409.100,1,0,NaN
Notomella,0.126,0.012,1,0,NaN
Notonectites,150.800,145.500,2,2,0.0050
Notonychia,478.600,466.000,1,0,NaN
Notoparmella,416.000,412.300,11,3,0.0020
Notopeltis,488.300,466.000,7,0,NaN
Notoplejona,40.400,37.200,1,0,NaN
Notospirifer,290.100,252.300,9,0,NaN
Notospisula,5.332,0.012,3,0,NaN
Notostrophia,290.100,279.500,6,6,0.0271
Notothyrina,254.000,252.300,3,1,0.2222
Notothyris,306.950,251.300,208,43,0.0420
Nototrigonia,125.450,99.600,3,0,NaN
Notovoluta,11.608,5.332,1,0,NaN
Novaculapermia,279.500,268.000,4,0,NaN
Noviphyllum,383.700,376.100,1,0,NaN
Novlepatella,298.900,268.000,6,6,0.0608
Novoameura,279.500,268.000,15,1,0.9844
Nowakia,416.000,383.700,142,11,0.2169
Nucella,3.600,2.588,1,1,0.0015
Nucha,449.500,201.600,2,0,NaN
Nucleata,161.200,136.400,101,20,0.0484
Nucleocrinus,388.100,383.700,3,0,NaN
Nucleolites,167.700,89.300,51,31,0.0282
Nucleopygus,125.450,65.500,38,11,0.0185
Nucleospira,436.000,272.500,131,21,0.0095
Nucula,478.600,0.012,277,44,0.0154
Nuculana,416.000,0.000,258,83,0.0171
Nucularca,452.000,443.700,3,0,NaN
Nuculavus,298.900,252.300,46,19,0.0368
Nuculites,452.000,336.000,45,0,NaN
Nuculodonta,428.200,422.900,3,0,NaN
Nuculoidea,428.200,150.800,33,2,0.0115
Nuculoma,205.600,61.700,33,19,0.0266
Nuculopsis,409.100,254.000,50,7,0.0330
Nudauris,303.400,272.500,59,0,NaN
Nudirostralina,247.200,242.000,3,0,NaN
Nudispiriferina,247.200,235.000,3,0,NaN
Nudivagus,83.500,70.600,1,0,NaN
Nuetzelopsis,212.000,205.600,1,1,0.0010
Numericoma,471.800,460.900,1,0,NaN
Numidiaphyllum,265.000,259.000,1,0,NaN
Nummicrinus,428.200,416.000,2,0,NaN
Nummocalcar,167.700,150.800,4,0,NaN
Nunnaspis,353.800,342.800,2,0,NaN
Nushbiella,460.900,449.500,2,2,0.0170
Nutricola,0.126,0.012,1,0,NaN
Nyalamites,251.300,247.200,13,3,0.3989
Nyassa,388.100,383.700,7,0,NaN
Nyaya,488.300,478.600,1,0,NaN
Nybyoceras,478.600,460.900,4,0,NaN
Nyctopora,456.100,428.200,39,0,NaN
Nyella,516.000,505.000,39,16,0.0491
Nymphalucina,83.500,65.500,25,1,0.0769
Nymphaster,99.600,70.600,21,2,0.0465
Nymphites,150.800,145.500,4,3,0.0512
Nymphorhynchia,428.200,391.900,20,3,0.0024
Oanduella,468.100,449.500,2,0,NaN
Oanduporella,460.900,455.800,1,0,NaN
Oaxaquiatreta,498.500,478.600,5,0,NaN
Obesaria,391.900,388.100,2,0,NaN
Obliquatheca,520.000,513.000,1,0,NaN
Obliquipecten,298.900,259.000,16,0,NaN
Oblisicornus,530.000,520.000,1,0,NaN
Obliteraspis,478.600,466.000,1,0,NaN
Oblongarcula,136.400,112.030,3,1,0.3333
Obnixia,251.300,247.200,29,1,0.0213
Oboedalites,513.000,501.000,3,0,NaN
Obolella,520.000,513.000,9,1,0.6667
Obolus,520.000,455.800,19,2,0.0643
Obornella,171.600,155.700,10,6,0.0176
Obscuropsis,409.100,391.900,1,0,NaN
Obsoletiforma,13.650,11.608,3,0,NaN
Obtortio,23.030,0.781,7,1,1.0000
Obturamentella,416.000,416.000,1,0,NaN
Obtusicostites,164.700,161.200,6,6,0.0063
Obtusoconus,542.000,501.000,13,0,NaN
Ocalaster,37.200,33.900,2,2,0.5000
Occidalia,259.000,254.000,1,1,0.0070
Occidentocerithium,221.500,215.560,1,1,0.0432
Occultocythereis,48.600,23.030,3,0,NaN
Ocellothuria,388.100,383.700,1,0,NaN
Ocenebra,0.126,0.012,1,0,NaN
